Ix;Type;A (signed);B (signed)
146;0;141;-67
147;2;152;252
148;2;146;1214
149;2;143;791
150;0;143;-187
151;0;150;-184
152;2;144;930
153;2;149;1578
154;0;144;738
155;0;144;88
156;0;139;712
157;2;147;1361
158;0;144;752
159;0;151;-472
160;0;145;-1170
161;2;146;7887
162;0;153;1954
163;0;154;-8027
164;0;137;-1357
165;0;130;301
166;0;138;-574
167;2;149;6699
168;2;151;7301
169;0;159;2086
170;0;151;3314
171;0;152;-5875
172;0;149;-7287
173;0;142;2296
174;0;136;8065
175;0;136;510
176;0;144;-6207
177;2;146;-1784
178;0;141;8117
179;0;145;4129
180;0;157;-2933
181;0;140;-1789
182;0;137;-7955
183;0;138;-6468
184;0;143;1318
185;0;154;-2855
186;0;142;2595
187;0;136;7551
188;0;141;730
189;0;150;-5017
190;0;147;-1131
191;0;148;4517
192;0;144;3312
193;0;143;-4642
194;0;145;-4557
195;0;138;1189
196;0;145;1593
197;0;148;-4229
198;0;143;-6329
199;0;140;25
200;0;137;4185
201;2;148;641
202;0;139;-3364
203;0;146;-28
204;0;141;5520
205;2;142;3032
206;0;143;-2053
207;0;150;-1140
208;0;142;4494
209;0;145;6155
210;0;146;836
211;0;143;-1303
212;0;144;2528
213;0;144;4963
214;0;139;724
215;0;149;-3788
216;0;146;-1713
217;0;151;2136
218;0;141;1171
219;0;147;-3271
220;0;150;-3088
221;0;143;1081
222;0;149;1333
223;0;142;-2382
224;0;150;-4063
225;0;144;-466
226;0;144;2380
227;2;147;298
228;0;147;-1917
229;2;148;545
230;0;151;4156
231;2;138;2920
232;0;150;-453
233;0;143;-306
234;2;144;2965
235;2;143;3659
236;0;150;402
237;0;143;-863
238;2;149;1780
239;0;148;3345
240;0;142;794
241;0;147;-2176
242;0;149;-1188
243;0;141;1063
244;0;147;191
245;0;152;-2601
246;2;156;-2338
247;0;142;491
248;0;145;1053
249;2;146;-1159
250;0;145;-2194
251;0;145;-41
252;0;147;1639
253;2;143;246
254;0;143;-1146
255;2;142;448
256;0;139;2829
257;2;144;2353
258;0;147;326
259;0;146;367
260;2;152;2290
261;2;144;2443
262;0;143;240
263;0;148;-674
264;2;144;925
265;0;151;1964
266;0;138;472
267;0;148;-1328
268;2;142;-684
269;0;141;735
270;0;148;-23
271;0;148;-1845
272;2;137;-1783
273;0;145;43
274;0;143;603
275;2;144;-645
276;2;145;-1204
277;0;154;265
278;0;137;1379
279;2;149;470
280;0;151;-520
281;2;141;374
282;2;146;1858
283;2;142;1672
284;0;149;455
285;0;151;533
286;2;151;1731
287;2;151;1820
288;0;140;350
289;0;143;-389
290;2;146;450
291;2;140;1042
292;2;146;118
293;0;148;-956
294;2;144;-476
295;0;143;444
296;2;142;48
297;2;145;-1124
298;2;144;-1155
299;0;146;-68
300;0;151;311
301;2;143;-436
302;2;145;-661
303;2;147;345
304;0;144;1154
305;2;145;641
306;0;145;-9
307;0;138;470
308;2;142;1339
309;2;151;1214
310;0;144;394
311;0;142;422
312;2;148;1213
313;2;142;1299
314;0;149;413
315;0;146;-153
316;2;148;288
317;2;151;626
318;2;146;-18
