Ix|Type|A|B
129| 2|182|202
130| 2|212|376
131| 2|204|338
132| 2|209|209
133| 2|183|275
134| 2|223|368
135| 2|207|328
136| 2|222|163
137| 2|187|154
138| 2|218|272
139| 2|202|278
140| 2|239|144
141| 2|205|89
142| 2|217|197
143| 2|214|212
144| 2|227|74
145| 2|203|-27
146| 2|219|45
147| 2|224|128
148| 2|229|35
149| 2|216|-27
150| 2|209|74
151| 2|230|199
152| 2|224|160
153| 2|215|76
154| 2|209|112
155| 2|237|246
156| 2|232|221
157| 2|238|-7
158| 2|200|133
159| 2|180|266
160| 2|197|346
161| 2|214|225
162| 2|199|194
163| 2|228|262
164| 2|207|324
165| 2|232|196
166| 2|207|86
167| 2|222|153
168| 2|206|239
169| 2|218|149
170| 2|186|44
171| 2|213|84
172| 2|186|162
173| 2|208|130
174| 2|221|10
175| 2|221|20
176| 2|212|121
177| 2|223|126
178| 2|219|48
179| 2|198|56
180| 2|223|171
181| 2|224|220
182| 2|225|152
183| 2|214|127
184| 2|261|216
185| 2|259|263
186| 2|224|203
187| 2|204|159
188| 2|264|220
189| 2|256|275
190| 2|263|256
191| 2|238|179
192| 2|257|189
193| 2|242|248
194| 2|236|216
195| 2|210|117
196| 2|226|103
197| 2|210|139
198| 2|240|131
199| 2|211|90
200| 2|245|58
201| 2|229|111
202| 2|226|135
203| 2|191|79
204| 2|220|51
205| 2|227|91
206| 2|239|140
207| 2|232|121
208| 2|231|104
209| 2|266|131
210| 2|262|199
211| 2|232|192
212| 2|219|166
213| 2|249|168
214| 2|234|223
215| 2|242|224
216| 2|227|197
217| 2|253|178
218| 2|244|206
219| 2|242|212
220| 2|219|178
221| 2|240|149
222| 2|234|161
223| 2|242|168
224| 2|220|139
225| 2|256|103
226| 2|251|96
227| 2|256|113
228| 2|221|103
229| 2|248|88
230| 2|244|85
231| 2|232|111
232| 2|218|113
233| 2|224|108
234| 2|248|114
235| 2|238|136
236| 2|239|144
237| 2|228|140
238| 2|240|144
239| 2|236|169
240| 2|248|185
241| 2|240|191
242| 2|255|187
243| 2|246|194
244| 2|258|200
245| 2|242|194
246| 2|256|181
247| 2|261|158
248| 2|248|170
249| 2|230|167
250| 2|243|154
251| 2|243|142
252| 2|249|130
253| 2|230|127
254| 2|239|124
255| 2|234|105
256| 2|238|114
257| 2|237|97
258| 2|239|107
259| 2|251|104
260| 2|246|105
261| 2|244|121
262| 2|238|135
263| 2|254|131
264| 2|247|126
265| 2|237|147
266| 2|236|159
267| 2|251|168
268| 2|250|160
269| 2|242|166
270| 2|239|187
271| 2|245|182
272| 2|246|180
273| 2|239|169
274| 2|233|168
275| 2|245|169
276| 2|246|149
277| 2|249|143
278| 2|236|141
279| 2|239|138
280| 2|241|127
281| 2|236|109
282| 2|235|114
283| 2|248|112
284| 2|248|110
285| 2|255|110
286| 2|249|105
287| 2|250|111
288| 2|236|123
289| 2|241|111
290| 2|244|118
291| 2|232|132
292| 2|236|142
293| 2|225|140
294| 2|241|150
295| 2|226|160
296| 2|231|159
297| 2|219|168
298| 2|226|150
299| 2|225|156
300| 2|229|159
301| 2|223|155
302| 2|229|149
303| 2|223|142
304| 2|224|142
305| 2|217|136
306| 2|221|126
307| 2|226|117
308| 2|225|119
309| 2|221|116
310| 2|228|109
311| 2|219|101
312| 2|208|102
313| 2|203|113
314| 2|206|106
315| 2|209|110
316| 2|200|123
317| 2|202|119
318| 2|205|119
319| 2|202|129
320| 2|210|134
321| 2|210|136
322| 2|183|152
323| 2|201|142
324| 2|210|146
325| 2|204|156
326| 2|205|135
327| 2|210|148
328| 2|177|146
329| 2|192|140
330| 2|198|152
331| 2|200|139
332| 2|203|122
333| 2|206|118
334| 2|186|138
335| 2|181|122
336| 2|201|111
337| 2|197|120
338| 2|206|111
339| 2|198|116
340| 2|204|117
341| 2|204|108
342| 2|209|115
343| 2|200|111
344| 2|191|121
345| 2|195|114
346| 2|191|136
347| 2|200|132
348| 2|209|132
349| 2|199|131
350| 2|198|137
351| 2|198|144
352| 2|190|151
353| 2|181|146
354| 2|184|155
355| 2|192|143
356| 2|199|131
357| 2|198|134
358| 2|199|133
359| 2|193|130
360| 2|181|139
361| 2|185|129
362| 2|199|130
363| 2|205|125
364| 2|195|116
365| 2|188|112
366| 2|184|109
367| 2|184|110
368| 2|176|111
369| 2|172|116
370| 2|191|112
371| 2|194|113
372| 2|192|117
373| 2|191|116
374| 2|187|122
375| 2|167|130
376| 2|177|129
377| 2|174|138
378| 2|169|130
379| 2|183|138
380| 2|192|142
381| 2|180|132
382| 2|168|137
383| 2|162|133
384| 2|163|132
385| 2|151|134
386| 2|158|129
387| 2|169|132
388| 2|181|120
389| 2|190|117
390| 2|179|116
391| 2|162|114
392| 2|160|116
393| 2|171|110
394| 2|175|114
395| 2|181|108
396| 2|182|109
397| 2|173|109
398| 2|177|108
399| 2|149|122
400| 2|149|118
401| 2|165|117
402| 2|163|118
403| 2|171|129
404| 2|165|128
405| 2|164|138
406| 2|186|128
407| 2|171|135
408| 2|166|130
409| 2|168|127
410| 2|171|130
411| 2|180|132
412| 2|170|124
413| 2|174|122
414| 2|169|124
415| 2|180|123
416| 2|176|121
417| 2|174|119
418| 2|178|120
419| 2|172|114
420| 2|181|119
421| 2|181|110
422| 2|181|113
423| 2|184|115
424| 2|182|124
425| 2|181|112
426| 2|182|120
427| 2|180|121
428| 2|179|120
429| 2|174|130
430| 2|179|123
431| 2|177|121
432| 2|176|133
433| 2|175|124
434| 2|171|128
435| 2|173|129
436| 2|171|135
437| 2|170|135
438| 2|173|127
439| 2|168|129
440| 2|170|127
